datetime,status,duration,exp_fold,dataset,batch_size,task,map_classes,epochs,tile_size,image_size,weights,device,data_folder,crossvalidation,tot_kfolds,cur_kfold,note
12/04/2023 10:22:30,completed,0h 1m 54s,exp102,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,128,2048,yolov5s.pt,None,/Users/marco/helical_tests/test_yolo_detect_train_muw_sfog/detection/tiles,True,3,2,testing
11/05/2023 16:41:25,prepared,0h 0m 0s,exp103,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,128,2048,yolov5s.pt,None,/Users/marco/helical_tests/test_yolo_detect_train_muw_sfog/detection/tiles,True,3,2,testing
11/05/2023 16:41:44,completed,0h 1m 55s,exp103,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,128,2048,yolov5s.pt,None,/Users/marco/helical_tests/test_yolo_detect_train_muw_sfog/detection/tiles,True,3,2,testing
11/05/2023 16:45:16,prepared,0h 0m 0s,exp104,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,128,2048,yolov5s.pt,None,/Users/marco/helical_tests/test_yolo_detect_train_muw_sfog/detection/tiles,True,3,2,testing
11/05/2023 16:53:10,started,0h 0m 0s,exp105,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 16:54:45,started,0h 0m 0s,exp105,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 16:55:33,started,0h 0m 0s,exp105,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 16:59:51,started,0h 0m 0s,exp105,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:01:09,started,0h 0m 0s,exp105,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:04:17,prepared,0h 0m 0s,exp105,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,2048,yolov5s.pt,None,/Users/marco/helical_tests/test_yolo_detect_train_muw_sfog/detection/tiles,True,3,2,testing
11/05/2023 17:05:45,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:06:08,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:07:22,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:09:05,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:10:44,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:12:06,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:12:35,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:14:21,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:14:51,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:15:25,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:21:03,started,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:21:51,prepared,0h 0m 0s,exp106,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
11/05/2023 17:22:41,prepared,0h 0m 0s,exp107,muw,5,detection,"{'Glo-healthy': 1, 'Glo-unhealthy': 0}",1,512,512,yolov5s.pt,None,/Users/marco/helical_datasets/muw_sfog_copia2/detection/tiles,True,3,2,testing
